transactions_per_month,support_tickets,churn
4.41,10,1
1.41,2,0
0.51,11,1
1.22,8,0
4.86,11,1
2.69,13,1
0.14,6,0
1.48,5,0
1.08,9,0
21.46,1,0
0.3,5,0
2.44,6,1
16.33,5,1
0.12,6,0
27.95,6,1
2.44,7,0
2.45,4,0
1.56,14,1
1.73,11,1
10.31,14,1
2.94,14,1
1.15,14,1
5.41,8,1
1.05,7,1
2.21,9,1
2.54,7,1
3.81,3,0
11.42,3,0
3.54,8,0
4.42,5,0
11.76,4,0
1.56,8,1
1.17,6,0
2.02,2,1
34.12,4,0
19.47,12,1
3.47,11,1
3.96,4,0
1.15,6,0
1.37,6,1
3.43,1,0
7.61,14,1
2.42,8,1
2.53,6,1
2.39,3,0
3.64,14,1
0.14,9,1
1.03,2,0
4.02,11,1
3.83,8,1
5.98,10,1
0.89,3,0
2.06,13,1
4.08,12,1
2.48,5,0
0.41,6,0
3.69,10,0
8.52,6,1
114.6,4,0
2.38,3,0
3.37,4,0
2.1,1,0
14.03,4,0
3.62,1,0
13.39,12,1
100.47,1,0
19.82,10,1
3.2,14,1
3.97,6,1
1.46,5,0
2.23,14,1
1.01,11,1
23.31,4,0
4.01,13,1
6.0,11,1
2.86,3,0
3.57,1,0
4.74,6,0
1.45,2,0
46.88,8,1
4.21,10,1
2.67,5,0
0.43,7,0
0.21,10,1
1.96,12,1
2.85,2,0
0.71,13,1
9.08,8,0
3.57,2,0
2.88,4,0
7.62,1,1
6.68,5,0
0.04,9,0
1.29,1,0
0.63,9,1
2.08,11,1
0.7,8,1
8.03,6,0
0.07,7,0
2.9,3,0
9.9,14,1
1.66,1,0
2.56,5,0
3.22,14,1
5.11,12,1
2.79,12,1
11.45,2,0
0.56,14,1
6.45,5,0
15.45,8,0
5.91,11,1
4.64,9,1
3.69,2,0
1.46,12,1
2.53,3,0
8.99,3,0
11.81,1,0
9.66,8,0
2.03,6,0
1.07,12,1
30.0,13,1
9.26,8,1
7.69,11,1
0.26,9,1
2.41,5,0
2.04,14,1
2.56,12,0
0.94,14,1
2.04,3,1
1.74,5,0
0.39,5,0
6.63,5,0
2.67,3,0
6.03,11,0
15.28,14,1
8.46,10,1
2.04,14,1
15.58,4,0
5.62,9,0
24.86,13,1
3.16,10,1
13.72,9,0
20.48,2,0
4.45,8,1
5.13,8,1
0.58,7,1
4.47,8,1
7.78,14,1
6.95,3,0
2.8,13,1
3.23,6,0
6.37,1,0
23.2,7,0
1.51,1,0
3.81,9,0
2.85,1,0
4.58,1,0
3.18,7,1
1.73,2,0
0.24,14,1
5.04,5,0
5.19,8,1
0.31,8,0
1.3,3,0
3.73,7,1
7.38,3,0
1.0,6,0
0.62,6,0
8.03,3,0
7.88,7,0
2.36,3,0
2.09,8,0
2.8,10,1
2.79,4,0
3.22,13,1
0.35,1,0
5.95,4,0
3.89,14,1
3.25,7,1
9.56,11,1
4.2,4,0
18.24,13,1
0.15,6,0
11.61,9,1
0.58,1,0
14.77,13,1
2.01,5,0
1.46,11,1
2.72,7,0
7.58,1,0
3.22,14,1
3.74,4,0
2.45,6,1
2.4,2,0
0.58,10,1
4.74,5,0
6.08,11,1
2.24,10,1
7.73,1,0
2.66,6,1
1.64,6,0
1.73,13,1
3.96,4,0
5.02,13,1
0.75,8,0
3.47,4,0
3.6,8,1
3.08,13,1
2.16,8,1
2.56,5,0
3.49,13,1
1.47,4,1
3.41,12,1
10.41,13,1
0.21,2,0
1.54,11,1
3.9,3,0
3.26,3,0
0.32,4,0
7.95,4,0
4.22,10,1
2.8,11,1
3.89,11,1
2.91,5,0
7.23,4,0
0.54,11,1
2.5,14,1
8.58,10,1
0.43,8,0
0.5,6,1
3.87,6,1
3.87,8,0
3.49,7,1
5.89,10,1
2.29,14,1
1.13,11,1
1.55,12,1
2.85,10,1
1.66,13,1
0.77,8,1
3.4,14,1
0.7,2,0
4.46,9,1
8.04,1,0
0.43,8,0
3.63,12,1
2.25,11,1
3.79,12,1
4.3,12,1
1.64,4,0
1.61,4,0
0.58,5,0
1.03,8,1
5.19,5,0
41.2,8,1
167.42,10,1
6.3,1,0
15.18,12,1
1.07,10,1
5.02,9,1
1.02,6,0
2.98,3,1
7.61,13,1
3.44,14,1
0.02,8,1
3.32,9,1
2.5,6,0
3.28,11,1
7.55,7,0
1.97,1,0
2.6,14,1
1.14,5,1
17.5,5,0
5.76,10,1
2.35,14,1
17.33,4,0
1.41,6,1
8.68,7,0
12.07,9,1
6.03,1,0
16.07,6,0
5.92,7,0
1.54,3,0
2.69,8,1
10.57,5,0
3.5,9,1
3.15,5,0
5.65,9,1
3.47,10,1
8.7,4,0
3.49,9,1
1.2,5,0
6.81,10,1
0.3,9,1
8.7,3,0
3.4,4,0
0.04,9,1
4.43,10,1
1.65,11,1
8.19,6,0
0.06,2,0
2.76,7,0
31.53,2,0
0.3,11,1
2.49,2,0
0.27,11,1
5.91,1,0
4.76,11,0
2.76,11,1
6.05,12,1
0.65,11,1
4.06,3,0
4.12,6,1
9.8,8,0
15.0,9,0
2.78,7,1
4.13,4,0
1.08,6,0
18.29,5,0
4.86,8,0
8.08,1,0
1.88,1,0
5.51,13,1
2.86,11,1
6.3,6,0
140.32,10,1
5.22,12,1
3.47,2,0
14.95,5,1
0.81,1,0
2.18,7,0
3.69,1,0
2.03,4,0
3.3,9,1
155.53,1,0
1.1,4,0
3.98,6,0
3.4,6,1
0.36,12,1
7.09,13,1
0.76,8,0
7.55,1,0
0.83,7,1
43.01,1,0
0.84,13,1
2.05,14,1
2.97,7,0
7.11,3,0
3.16,11,1
0.22,8,1
1.73,3,0
5.86,14,1
6.68,14,1
2.02,13,1
1.52,1,0
1.5,13,1
3.48,13,1
37.73,14,1
16.15,8,1
3.34,3,0
3.27,2,0
10.54,1,0
2.54,14,1
1.94,3,0
0.15,2,0
3.33,2,0
2.89,6,0
2.3,12,1
16.11,1,0
0.06,2,0
6.54,14,1
1.62,6,0
1.2,3,0
5.86,4,0
1.6,1,0
3.01,8,0
2.15,13,1
1.88,7,0
7.67,7,1
0.04,3,0
1.41,10,1
7.24,10,1
0.25,3,0
5.79,14,1
11.6,2,0
2.37,12,1
0.89,1,0
1.31,7,1
1.6,7,0
42.54,12,1
8.34,2,0
0.83,7,1
7.8,13,1
