record_id,value,category,created_at
1,499.16,C,2026-03-28
2,9676.16,D,2025-03-11
3,6720.85,D,2024-10-12
4,40.88,C,2024-01-20
5,406.98,D,2026-01-08
6,5690.97,A,2023-05-06
7,8904.24,C,2023-01-25
8,6176.23,A,2023-08-18
9,1199.46,B,2025-06-14
10,6342.36,B,2025-09-06
11,3937.76,A,2025-11-29
12,9402.53,C,2024-04-21
13,3696.74,D,2023-10-19
14,8843.6,D,2023-11-27
15,7240.54,A,2026-01-30
16,263.03,D,2025-02-11
17,8096.78,C,2025-03-06
18,8577.13,C,2023-09-23
19,1805.92,C,2025-06-18
20,3258.58,B,2023-03-20
21,2518.71,B,2026-01-30
22,3854.96,D,2024-02-25
23,5396.98,B,2024-07-07
24,4482.79,D,2024-04-21
25,7074.2,B,2026-03-21
26,5774.22,A,2025-08-16
27,3580.12,D,2026-04-08
28,9827.36,C,2023-01-26
29,1780.04,A,2026-05-13
30,437.79,D,2026-02-19
31,7888.13,B,2025-07-24
32,1615.33,C,2023-06-30
33,8339.56,D,2025-12-13
34,1667.02,C,2025-04-29
35,8405.79,D,2025-01-23
36,4231.29,C,2025-04-24
37,9909.31,D,2024-03-08
38,6275.39,C,2025-05-12
39,5635.42,B,2024-06-10
40,8985.4,C,2023-03-19
41,1668.33,A,2023-12-25
42,7807.17,C,2024-03-04
43,8608.11,C,2023-02-01
44,2526.7,B,2025-12-05
45,8479.12,D,2023-06-18
46,777.45,A,2024-12-13
47,3335.71,D,2025-05-19
48,9221.13,B,2023-10-29
49,9659.8,B,2024-05-09
50,3252.13,A,2024-08-06
51,2959.98,A,2024-11-23
52,7280.02,C,2024-09-12
53,6772.44,C,2024-09-14
54,8666.99,B,2023-05-24
55,2872.68,B,2024-05-16
56,8338.95,C,2026-04-24
57,9466.72,D,2024-03-13
58,9831.08,D,2025-02-07
59,9806.96,D,2023-03-22
60,7728.41,A,2023-12-06
61,4860.41,A,2023-05-05
62,7348.58,D,2025-07-20
63,3016.69,A,2025-12-25
64,2055.29,A,2025-10-03
65,5761.86,A,2025-08-30
66,353.59,A,2026-03-05
67,1321.12,C,2024-04-04
68,9916.48,D,2025-08-05
69,5592.34,C,2023-02-22
70,275.06,C,2024-06-08
71,6820.94,D,2023-05-20
72,2769.42,A,2023-01-08
73,3281.41,D,2026-02-07
74,4369.72,A,2026-03-30
75,1046.37,A,2025-03-11
76,4091.88,B,2024-12-30
77,198.53,B,2023-02-16
78,8314.25,C,2023-12-16
79,8923.58,A,2024-02-09
80,3890.05,C,2025-01-30
81,1661.14,D,2025-09-25
82,1924.93,B,2023-01-11
83,9870.44,A,2026-01-03
84,2044.99,B,2025-10-17
85,5498.11,C,2025-05-21
86,3528.27,C,2026-03-10
87,2915.72,C,2024-03-26
88,2740.57,C,2024-06-09
89,697.43,C,2025-02-20
90,7268.68,C,2024-01-12
91,6344.87,A,2025-02-16
92,3132.88,A,2026-04-22
93,3274.04,D,2025-01-06
94,1186.08,D,2025-06-23
95,9136.59,A,2025-02-12
96,7320.78,B,2025-01-14
97,7255.97,D,2023-07-07
98,6195.18,D,2023-08-20
99,7725.87,B,2025-01-26
100,3477.18,B,2024-10-17
101,5912.41,C,2025-01-23
102,6345.65,B,2024-08-27
103,5751.24,C,2025-12-06
104,6011.65,A,2024-07-24
105,6357.65,A,2026-01-06
106,6275.61,D,2023-06-28
107,4500.87,C,2025-10-10
108,8344.03,B,2025-04-19
109,8164.07,A,2025-04-23
110,8585.04,D,2025-05-29
111,5440.6,C,2024-10-19
112,7223.67,D,2025-05-18
113,3321.17,C,2023-07-03
114,6833.81,B,2025-09-09
115,6731.16,B,2025-10-19
116,6214.14,C,2024-02-02
117,6341.33,C,2026-06-03
118,8381.54,C,2023-01-02
119,7934.55,A,2025-09-29
120,5942.6,D,2026-01-01
121,2874.27,C,2025-01-16
122,2426.19,B,2026-05-29
123,8562.63,C,2023-06-08
124,1781.19,B,2023-12-04
125,7104.14,B,2025-11-05
126,4194.48,A,2025-12-08
127,3418.34,B,2024-01-31
128,3240.26,B,2023-02-26
129,4504.47,B,2026-02-21
130,4746.21,D,2023-05-11
131,4010.75,D,2024-06-14
132,8457.87,C,2024-10-13
133,537.68,B,2026-06-05
134,7300.06,B,2023-06-09
135,2386.94,B,2025-09-14
136,4959.13,A,2023-05-11
137,7636.4,D,2023-02-19
138,6681.11,A,2025-08-27
139,5352.16,D,2026-03-13
140,2917.89,D,2023-12-31
141,1665.67,D,2024-07-28
142,5030.16,D,2024-02-14
143,591.18,A,2026-02-04
144,4784.53,A,2023-12-11
145,1527.94,D,2024-06-27
146,3102.48,D,2025-10-29
147,5621.74,B,2024-09-23
148,4519.82,C,2023-12-05
149,9595.8,B,2025-08-17
150,2975.68,A,2023-10-30
151,1701.27,D,2024-06-09
152,6416.29,C,2025-04-22
153,1321.26,B,2024-12-03
154,7588.08,B,2024-01-17
155,9139.04,B,2023-11-05
156,6143.99,C,2023-01-31
157,4302.58,D,2023-09-11
158,2437.82,C,2026-02-09
159,3606.06,D,2023-06-25
160,8141.9,B,2025-07-22
161,6660.35,A,2026-01-05
162,809.35,A,2025-10-01
163,7276.59,B,2024-03-08
164,4528.94,A,2026-05-20
165,1218.25,B,2023-11-09
166,1510.81,D,2026-02-23
167,4919.68,B,2024-01-16
168,49.89,A,2025-03-11
169,3976.46,C,2024-12-31
170,9783.01,C,2025-12-26
171,1837.59,A,2025-09-03
172,1552.46,B,2024-05-15
173,1324.33,C,2025-02-25
174,6519.66,C,2024-07-24
175,1301.29,A,2024-10-26
176,9320.21,A,2025-11-25
177,3790.39,C,2023-06-21
178,3854.41,C,2025-12-23
179,9584.14,B,2024-04-25
180,4810.64,A,2025-02-10
181,4381.6,B,2023-12-06
182,5160.64,C,2024-07-12
183,3024.32,C,2025-08-10
184,373.43,A,2023-07-31
185,1496.22,A,2024-09-14
186,6690.2,A,2025-07-14
187,1179.57,D,2025-04-28
188,497.44,B,2024-04-12
189,8329.54,A,2026-03-11
190,4338.19,B,2024-05-01
191,5074.89,C,2023-09-27
192,3562.73,D,2024-04-04
193,6521.33,A,2024-11-27
194,2904.89,C,2023-12-17
195,577.69,C,2026-04-15
196,6357.4,B,2023-10-07
197,2082.81,C,2023-09-13
198,9245.65,A,2026-05-31
199,7461.49,B,2025-03-13
200,534.44,C,2023-12-15
201,8123.2,A,2023-06-18
