customer_id,days_as_customer,total_transactions,total_spent,days_since_last_purchase,purchase_count,avg_order_value,support_tickets_raised,newsletter_subscriber,referrals_made,lifetime_months
30001,1048,40,7212.64,51,40,180.32,7,0,2,34.4
30002,1403,11,10661.63,563,11,969.24,12,1,17,46.1
30003,185,379,27454.57,259,379,72.44,20,0,45,6.1
30004,2022,147,5811.97,79,147,39.54,4,1,3,66.4
30005,684,230,1441.0,382,230,6.27,29,1,39,22.5
30006,688,30,2554.93,445,30,85.16,21,1,46,22.6
30007,1233,459,8450.57,669,459,18.41,3,0,10,40.5
30008,1713,456,3469.1,262,456,7.61,24,0,30,56.3
30009,1115,245,70229.64,603,245,286.65,0,1,6,36.6
30010,2317,497,269.45,584,497,0.54,6,0,21,76.1
30011,1211,391,285.35,648,391,0.73,2,1,16,39.8
30012,842,327,976.6,34,327,2.99,22,1,22,27.7
30013,2385,380,182.61,417,380,0.48,25,0,35,78.4
30014,1996,269,3090.93,301,269,11.49,21,1,44,65.6
30015,1678,450,8838.76,431,450,19.64,25,0,49,55.1
30016,1034,191,3592.8,609,191,18.81,23,0,15,34.0
30017,2228,330,205.32,265,330,0.62,10,0,23,73.2
30018,41,404,898.17,610,404,2.22,11,0,15,1.3
30019,339,97,1805.65,335,97,18.61,18,1,9,11.1
30020,1892,484,1613.62,513,484,3.33,26,1,14,62.2
30021,645,158,520.39,571,158,3.29,23,1,34,21.2
30022,900,193,347.77,220,193,1.8,27,0,26,29.6
30023,1918,290,9572.64,567,290,33.01,3,0,5,63.0
30024,1535,195,541.96,496,195,2.78,6,0,3,50.4
30025,1897,69,17581.2,84,69,254.8,18,1,39,62.3
30026,961,49,463.33,323,49,9.46,19,0,11,31.6
30027,736,369,1578.43,398,369,4.28,17,1,24,24.2
30028,1966,130,1175.96,412,130,9.05,2,1,48,64.6
30029,516,132,2113.54,223,132,16.01,24,1,46,17.0
30030,1680,290,5075.34,207,290,17.5,20,0,41,55.2
30031,885,95,1823.07,176,95,19.19,20,0,8,29.1
30032,1426,258,4441.64,513,258,17.22,23,1,13,46.8
30033,1410,201,538.98,94,201,2.68,12,1,37,46.3
30034,1004,34,1454.65,277,34,42.78,13,1,14,33.0
30035,195,362,1244.84,652,362,3.44,4,0,5,6.4
30036,2388,151,3439.71,187,151,22.78,16,1,33,78.4
30037,375,16,1001.73,61,16,62.61,17,1,36,12.3
30038,1432,425,1456.13,714,425,3.43,13,1,48,47.0
30039,1435,130,350.83,631,130,2.7,12,0,34,47.1
30040,1698,271,3450.67,164,271,12.73,23,1,41,55.8
30041,878,480,206.49,695,480,0.43,26,0,43,28.8
30042,1784,361,818.4,406,361,2.27,11,0,29,58.6
30043,929,138,2119.58,428,138,15.36,12,0,18,30.5
30044,2211,302,446.92,115,302,1.48,7,0,19,72.6
30045,2199,177,7971.56,428,177,45.04,21,0,1,72.2
30046,2421,236,722.33,631,236,3.06,15,1,17,79.5
30047,46,188,4380.27,80,188,23.3,21,0,19,1.5
30048,610,298,3317.4,63,298,11.13,16,0,22,20.0
30049,2284,286,8976.7,667,286,31.39,27,0,14,75.0
30050,362,263,328.27,66,263,1.25,15,1,17,11.9
30051,869,326,315.6,128,326,0.97,12,1,27,28.5
30052,1509,464,386.04,279,464,0.83,18,1,16,49.6
30053,377,207,3323.61,347,207,16.06,3,0,29,12.4
30054,463,379,21200.6,145,379,55.94,3,1,31,15.2
30055,122,190,3121.98,592,190,16.43,20,1,35,4.0
30056,1640,313,6231.8,6,313,19.91,22,0,47,53.9
30057,31,220,789.55,700,220,3.59,6,1,15,1.0
30058,2384,6,1895.3,358,6,315.88,27,1,21,78.3
30059,667,305,1457.78,640,305,4.78,9,1,24,21.9
30060,2487,56,2709.28,347,56,48.38,4,1,33,81.7
30061,1158,248,3855.37,386,248,15.55,9,0,49,38.0
30062,1219,313,981.92,514,313,3.14,26,1,40,40.0
30063,2412,439,7510.86,261,439,17.11,5,1,11,79.2
30064,2086,356,13320.42,93,356,37.42,17,0,17,68.5
30065,365,282,697.15,436,282,2.47,23,1,23,12.0
30066,2205,46,332.87,378,46,7.24,7,0,21,72.4
30067,459,175,3980.63,293,175,22.75,4,0,21,15.1
30068,2115,416,72205.48,479,416,173.57,6,0,20,69.5
30069,1694,369,269.34,606,369,0.73,27,1,25,55.7
30070,1769,498,38.58,161,498,0.08,22,1,48,58.1
30071,530,306,575.35,297,306,1.88,2,0,46,17.4
30072,2553,401,1260.47,3,401,3.14,7,0,5,83.9
30073,656,153,4791.52,231,153,31.32,4,1,6,21.6
30074,2411,413,663.29,189,413,1.61,27,1,0,79.2
30075,668,197,531.99,16,197,2.7,29,1,30,21.9
30076,1760,61,790.03,72,61,12.95,29,1,25,57.8
30077,595,257,830.96,165,257,3.23,20,1,10,19.5
30078,1894,419,161.25,252,419,0.38,11,0,19,62.2
30079,1287,432,1015.9,360,432,2.35,8,1,49,42.3
30080,1714,230,5918.94,0,230,25.73,7,1,2,56.3
30081,405,102,377.18,167,102,3.7,13,0,26,13.3
30082,1551,24,2004.99,153,24,83.54,5,0,27,51.0
30083,224,19,106.13,626,19,5.59,27,1,11,7.4
30084,2468,22,1946.26,264,22,88.47,20,1,24,81.1
30085,853,481,4911.27,126,481,10.21,21,1,29,28.0
30086,2292,7,1497.96,229,7,213.99,4,0,35,75.3
30087,2181,359,905.48,278,359,2.52,26,0,38,71.6
30088,653,179,2262.93,669,179,12.64,6,1,26,21.5
30089,1792,239,3269.26,297,239,13.68,14,0,2,58.9
30090,1457,84,4068.92,585,84,48.44,3,1,18,47.9
30091,1918,217,2661.15,354,217,12.26,29,0,19,63.0
30092,645,202,419.32,435,202,2.08,29,1,45,21.2
30093,833,294,1225.42,386,294,4.17,11,1,17,27.4
30094,120,197,346.18,258,197,1.76,20,1,10,3.9
30095,1144,213,2172.79,576,213,10.2,14,1,38,37.6
30096,509,283,555.09,636,283,1.96,6,1,0,16.7
30097,1062,125,3077.32,78,125,24.62,19,1,45,34.9
30098,939,295,2056.22,444,295,6.97,17,0,7,30.8
30099,1079,66,1330.41,331,66,20.16,14,1,46,35.4
30100,948,201,6610.97,398,201,32.89,29,1,22,31.1
30101,665,28,384.47,66,28,13.73,28,1,11,21.8
30102,1083,323,668.72,239,323,2.07,12,1,15,35.6
30103,1570,323,185.42,65,323,0.57,9,1,4,51.6
30104,2506,382,598.72,192,382,1.57,13,1,16,82.3
30105,2315,276,476.21,487,276,1.73,6,0,38,76.1
30106,2405,401,12989.99,216,401,32.39,3,1,42,79.0
30107,616,289,1791.28,496,289,6.2,22,1,0,20.2
30108,796,400,686.92,85,400,1.72,3,0,12,26.1
30109,2129,496,338.99,488,496,0.68,16,1,40,69.9
30110,1631,186,264.51,260,186,1.42,2,0,38,53.6
30111,1392,211,391.1,282,211,1.85,13,1,9,45.7
30112,226,34,4739.72,714,34,139.4,21,1,36,7.4
30113,240,279,2346.4,267,279,8.41,0,1,5,7.9
30114,332,477,425.76,301,477,0.89,6,0,37,10.9
30115,2235,180,5670.94,658,180,31.51,14,1,36,73.4
30116,993,345,625.07,208,345,1.81,25,1,27,32.6
30117,985,181,1910.49,306,181,10.56,17,0,5,32.4
30118,480,255,333.26,549,255,1.31,21,0,37,15.8
30119,538,30,5130.67,482,30,171.02,5,1,18,17.7
30120,171,94,7304.13,523,94,77.7,21,0,30,5.6
30121,497,402,750.8,53,402,1.87,19,0,46,16.3
30122,1087,268,609.48,159,268,2.27,3,0,41,35.7
30123,2291,478,673.08,649,478,1.41,9,0,13,75.3
30124,275,180,2380.61,328,180,13.23,12,1,4,9.0
30125,1401,468,202.83,710,468,0.43,24,1,23,46.0
30126,591,479,1958.47,216,479,4.09,3,1,24,19.4
30127,1542,433,23560.11,366,433,54.41,8,1,44,50.7
30128,545,143,1420.6,660,143,9.93,20,0,0,17.9
30129,2497,36,723.0,352,36,20.08,5,0,7,82.0
30130,1140,304,818.63,649,304,2.69,20,0,11,37.5
30131,647,438,156.92,415,438,0.36,5,1,9,21.3
30132,1252,11,15120.26,587,11,1374.57,26,1,32,41.1
30133,1208,309,191.18,17,309,0.62,10,0,15,39.7
30134,1171,141,1569.61,447,141,11.13,11,0,27,38.5
30135,1962,169,46590.9,245,169,275.69,6,0,6,64.5
30136,2419,380,2850.61,710,380,7.5,1,1,35,79.5
30137,493,251,1434.72,568,251,5.72,26,1,39,16.2
30138,270,20,328.04,550,20,16.4,18,1,49,8.9
30139,2210,212,4362.52,672,212,20.58,23,0,49,72.6
30140,700,342,264.98,241,342,0.77,21,1,41,23.0
30141,2178,187,2402.27,710,187,12.85,20,0,32,71.6
30142,466,480,1193.32,538,480,2.49,25,0,29,15.3
30143,792,112,764.42,1,112,6.83,10,0,31,26.0
30144,46,452,758.66,190,452,1.68,28,1,10,1.5
30145,870,290,825.55,589,290,2.85,15,0,20,28.6
30146,1317,266,986.49,275,266,3.71,10,1,9,43.3
30147,395,256,1844.95,428,256,7.21,2,1,25,13.0
30148,75,274,366.73,717,274,1.34,18,0,31,2.5
30149,941,455,1175.91,67,455,2.58,26,0,44,30.9
30150,75,441,628.4,151,441,1.42,11,0,29,2.5
30151,1221,95,3141.11,685,95,33.06,1,1,29,40.1
30152,1692,109,234.69,599,109,2.15,19,0,38,55.6
30153,2463,497,390.99,138,497,0.79,9,0,31,80.9
30154,410,167,5279.78,340,167,31.62,11,0,48,13.5
30155,616,304,320.03,103,304,1.05,7,1,49,20.2
30156,2119,193,380.76,580,193,1.97,20,1,41,69.6
30157,1354,397,2834.07,479,397,7.14,11,1,20,44.5
30158,648,49,2994.16,239,49,61.11,21,1,18,21.3
30159,1374,189,695.29,217,189,3.68,20,1,10,45.1
30160,1439,155,141.87,706,155,0.92,29,1,40,47.3
30161,2339,315,1450.75,579,315,4.61,1,1,24,76.8
30162,1204,250,1740.26,172,250,6.96,17,0,42,39.6
30163,1864,336,3011.37,332,336,8.96,1,1,8,61.2
30164,1180,15,33156.53,671,15,2210.44,22,0,19,38.8
30165,2498,416,537.82,111,416,1.29,2,0,25,82.1
