transaction_id,customer_id,transaction_date,amount,product_category,region,payment_method,discount_pct,is_returned
1,2127,2025-01-10,116.38,Books,South,Wallet,15,0
2,2460,2025-05-11,16.3,Sports,South,Credit Card,0,0
3,1861,2025-08-11,110.24,Food & Beverage,West,Debit Card,10,0
4,2295,2026-06-28,476.54,Health,West,UPI,10,0
5,2131,2025-04-12,494.63,Apparel,South,Net Banking,0,0
6,2096,2023-05-20,1029.2,Apparel,South,Debit Card,15,0
7,2725,2025-03-02,295.01,Travel,East,Credit Card,0,0
8,2045,2024-06-29,159.32,Software,East,Wallet,5,0
9,2639,2025-10-13,257.15,Books,Central,UPI,5,0
10,1122,2023-02-26,203.71,Health,West,Wallet,20,0
11,1467,2023-04-22,34.17,Software,South,Credit Card,5,0
12,2239,2023-01-05,14.61,Electronics,West,Credit Card,10,0
13,1331,2026-04-20,259.64,Travel,Central,Debit Card,5,0
14,2483,2025-11-02,1109.89,Software,East,UPI,10,0
15,1088,2023-03-31,272.81,Software,Central,Credit Card,0,0
16,2397,2024-09-07,9.33,Health,North,Debit Card,0,0
17,2124,2025-06-09,48.27,Home & Garden,East,Credit Card,15,0
18,1872,2024-11-28,71.09,Books,West,Debit Card,0,0
19,2688,2026-06-27,9.71,Apparel,East,Wallet,0,0
20,1131,2025-06-16,17.25,Home & Garden,Central,Debit Card,25,0
21,2686,2025-08-28,86.1,Health,South,Wallet,0,0
22,2333,2026-02-05,123.22,Electronics,Central,Net Banking,0,0
23,1770,2024-10-29,27.57,Home & Garden,Central,Credit Card,10,0
24,1344,2024-08-16,16.32,Books,South,Net Banking,5,0
25,2516,2024-08-11,376.9,Sports,West,UPI,10,0
26,2438,2024-04-29,56.88,Home & Garden,West,Net Banking,0,0
27,1806,2025-09-08,67.54,Food & Beverage,East,Debit Card,10,0
28,1386,2025-08-29,46.71,Food & Beverage,Central,Debit Card,0,0
29,2216,2024-09-30,35.68,Sports,East,UPI,15,0
30,1956,2025-09-23,429.81,Software,South,UPI,5,0
31,1277,2023-10-09,31.32,Food & Beverage,North,Credit Card,20,0
32,2185,2025-09-12,111.68,Software,West,Debit Card,0,1
33,1460,2026-01-16,,Apparel,South,UPI,0,0
34,2338,2026-05-12,8.69,Food & Beverage,West,Net Banking,20,0
35,1022,2023-01-16,120.2,Sports,East,Debit Card,15,0
36,1253,2026-03-20,14.11,Apparel,North,UPI,30,0
37,1748,2025-07-24,192.97,Books,Central,Credit Card,0,0
38,1857,2023-09-11,21.68,Home & Garden,West,Wallet,5,0
39,2585,2026-04-26,168.41,Food & Beverage,Central,Debit Card,0,0
40,1475,2023-11-25,53.76,Travel,East,Debit Card,30,0
41,2083,2024-06-27,40.08,Sports,West,Debit Card,0,0
42,1511,2025-02-21,115.89,Sports,East,Debit Card,25,0
43,2706,2025-09-23,15.39,Books,Central,Wallet,10,0
44,2500,2025-04-24,82.84,Food & Beverage,East,Wallet,25,0
45,1700,2026-04-07,230.14,Health,East,Credit Card,0,0
46,1976,2024-01-01,314.54,Food & Beverage,East,Debit Card,0,0
47,2807,2026-04-16,51.67,Health,South,UPI,0,0
48,1190,2024-10-16,61.56,Software,South,Net Banking,5,1
49,1958,2025-01-29,15.03,Sports,West,Debit Card,25,1
50,1687,2024-09-30,36.57,Electronics,East,Wallet,10,0
51,1958,2025-11-29,13.84,Software,East,Credit Card,5,0
52,1563,2025-07-12,152.64,Health,East,Debit Card,0,0
53,2900,2024-02-20,247.3,Sports,South,Credit Card,10,0
54,2591,2023-09-12,52.19,Travel,Central,UPI,15,0
55,2268,2026-03-12,25.28,Health,East,UPI,5,0
56,1832,2024-12-10,130.3,Apparel,North,UPI,0,0
57,2529,2024-07-30,31.77,Electronics,West,UPI,10,1
58,2155,2025-06-18,201.61,Software,South,Net Banking,0,1
59,2509,2023-01-11,918.29,Health,Central,Credit Card,30,0
60,2843,2023-01-26,31.15,Electronics,North,Debit Card,5,0
61,1647,2025-08-14,36.97,Sports,East,Net Banking,5,0
62,1021,2024-02-25,15.62,Books,South,Debit Card,20,0
63,1841,2026-05-29,107.27,Books,East,Wallet,0,0
64,1167,2024-05-10,98.86,Books,West,Net Banking,0,0
65,2298,2026-06-14,65.06,Home & Garden,South,Net Banking,20,0
66,1388,2023-08-25,91.78,Books,North,Wallet,10,0
67,1601,2025-10-05,25.73,Sports,Central,Net Banking,0,0
68,1316,2023-08-07,12.23,Books,Central,Credit Card,0,0
69,1014,2024-04-05,36.2,Health,West,UPI,5,0
70,1242,2024-10-24,9.04,Books,Central,Debit Card,10,0
71,1777,2024-09-26,31.14,Travel,Central,Wallet,5,0
72,2370,2026-03-13,130.54,Travel,West,UPI,0,0
73,1565,2025-09-16,96.7,Home & Garden,North,Net Banking,15,0
74,1898,2023-07-08,10.71,Books,South,Credit Card,0,0
75,2364,2023-09-12,317.1,Sports,South,Net Banking,10,0
76,1092,2023-03-09,71.27,Books,West,Wallet,5,0
77,2391,2024-09-07,18.93,Travel,East,Net Banking,0,0
78,1956,2023-12-02,58.14,Sports,West,Credit Card,25,0
79,2479,2024-11-01,44.72,Books,West,Net Banking,15,0
80,2452,2025-03-31,31.78,Health,West,Net Banking,0,0
81,1509,2025-05-23,238.68,Home & Garden,West,Net Banking,10,0
82,1776,2023-10-27,23.86,Food & Beverage,Central,Net Banking,20,0
83,2967,2023-12-23,112.35,Software,Central,Credit Card,30,0
84,1035,2023-09-13,18.0,Sports,North,Debit Card,10,0
85,1206,2025-10-04,86.12,Sports,West,UPI,10,0
86,2105,2023-12-19,123.78,Food & Beverage,South,Wallet,10,0
87,2956,2024-06-07,124.07,Food & Beverage,East,Debit Card,0,0
88,2586,2025-08-07,99.18,Home & Garden,Central,Credit Card,10,0
89,2896,2025-01-25,67.57,Electronics,South,Wallet,20,0
90,2412,2023-10-11,25.11,Home & Garden,Central,Wallet,0,0
91,2026,2023-04-09,25.46,Travel,North,Net Banking,10,0
92,2022,2023-07-16,128.84,Travel,East,UPI,25,0
93,2414,2024-04-26,19.81,Food & Beverage,Central,UPI,0,0
94,1566,2025-05-27,15.05,Health,East,Credit Card,0,0
95,2130,2026-06-03,,Apparel,East,Debit Card,0,0
96,2796,2024-09-06,65.91,Software,South,Net Banking,5,0
97,2846,2024-09-09,192.87,Home & Garden,Central,UPI,20,0
98,2501,2024-01-03,256.77,Apparel,East,Net Banking,5,0
99,1703,2024-07-23,95.71,Books,West,Debit Card,0,0
100,1402,2024-08-12,57.28,Electronics,East,Wallet,0,0
101,1730,2026-01-03,58.46,Books,East,Debit Card,20,0
102,2580,2025-12-01,619.95,Sports,Central,Wallet,10,0
