order_id,customer_id,order_date,order_amount,status
5101,1007,2024-01-05,215.95,Shipped
5105,1005,2024-01-05,326.67,Pending
5193,1004,2024-01-09,22.36,Completed
5272,1021,2024-01-12,390.51,Shipped
5325,1010,2024-01-14,382.41,Completed
6094,1016,2024-02-15,141.7,Shipped
6351,1017,2024-02-26,367.4,Pending
6626,1023,2024-03-08,435.73,Cancelled
6650,1006,2024-03-09,142.8,Completed
6707,1023,2024-03-12,499.67,Completed
6795,1026,2024-03-15,450.93,Shipped
6861,1003,2024-03-18,333.8,Cancelled
6932,1022,2024-03-21,385.7,Cancelled
6966,1005,2024-03-22,393.28,Shipped
7057,1001,2024-03-26,364.92,Completed
7889,1014,2024-04-30,53.63,Completed
7909,1013,2024-05-01,139.53,Pending
7996,1017,2024-05-04,489.49,Completed
8433,1009,2024-05-23,405.95,Pending
8848,1007,2024-06-09,186.27,Cancelled
8852,1009,2024-06-09,475.56,Cancelled
9094,1022,2024-06-19,375.92,Completed
9138,1029,2024-06-21,83.18,Completed
9310,1010,2024-06-28,147.74,Shipped
9338,1023,2024-06-29,227.18,Shipped
9434,1010,2024-07-03,33.86,Cancelled
9472,1013,2024-07-05,459.68,Shipped
9502,1014,2024-07-06,121.21,Pending
9582,1019,2024-07-09,415.79,Shipped
9842,1017,2024-07-20,110.45,Cancelled
